region,småvilt,statistikkvariabel,intervall (år),value
Sarpsborg,Siland,Felte småvilt,2023-2024,
Sarpsborg,Toppand,Felte småvilt,2023-2024,0.0
Sarpsborg,Ærfugl,Felte småvilt,2023-2024,10.0
Sarpsborg,Laksand,Felte småvilt,2023-2024,
Sarpsborg,Svartand,Felte småvilt,2023-2024,
Sarpsborg,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Sarpsborg,Mandarinand,Felte småvilt,2023-2024,0.0
Sarpsborg,Stivhaleand,Felte småvilt,2023-2024,0.0
Sarpsborg,Grågås,Felte småvilt,2023-2024,440.0
Sarpsborg,Kanadagås,Felte småvilt,2023-2024,160.0
Sarpsborg,Kortnebbgås,Felte småvilt,2023-2024,
Sarpsborg,Stripegås,Felte småvilt,2023-2024,0.0
Sarpsborg,Toppskarv,Felte småvilt,2023-2024,0.0
Sarpsborg,Storskarv,Felte småvilt,2023-2024,10.0
Sarpsborg,Bever,Felte småvilt,2023-2024,20.0
Sarpsborg,Bisam,Felte småvilt,2023-2024,0.0
Sarpsborg,Hare,Felte småvilt,2023-2024,30.0
Sarpsborg,Sørhare,Felte småvilt,2023-2024,70.0
Sarpsborg,Viltlevende kanin,Felte småvilt,2023-2024,0.0
Sarpsborg,Ekorn,Felte småvilt,2023-2024,0.0
Sarpsborg,Rødrev,Felte småvilt,2023-2024,130.0
Sarpsborg,Grevling,Felte småvilt,2023-2024,30.0
Sarpsborg,Villmink,Felte småvilt,2023-2024,20.0
Sarpsborg,Mår,Felte småvilt,2023-2024,10.0
Sarpsborg,Mårhund,Felte småvilt,2023-2024,0.0
Sarpsborg,Vaskebjørn,Felte småvilt,2023-2024,0.0
Sarpsborg,Røyskatt,Felte småvilt,2023-2024,0.0
Fredrikstad,I alt,Felte småvilt,2023-2024,2510.0
Fredrikstad,Storfugl,Felte småvilt,2023-2024,
Fredrikstad,Orrfugl,Felte småvilt,2023-2024,
Fredrikstad,Lirype,Felte småvilt,2023-2024,0.0
Fredrikstad,Fjellrype,Felte småvilt,2023-2024,0.0
Fredrikstad,Jerpe,Felte småvilt,2023-2024,
Fredrikstad,Ringdue,Felte småvilt,2023-2024,810.0
Fredrikstad,Ravn,Felte småvilt,2023-2024,0.0
Fredrikstad,Kråke,Felte småvilt,2023-2024,60.0
Fredrikstad,Skjære,Felte småvilt,2023-2024,60.0
Fredrikstad,Nøtteskrike,Felte småvilt,2023-2024,10.0
Fredrikstad,Gråtrost,Felte småvilt,2023-2024,20.0
Fredrikstad,Fasan,Felte småvilt,2023-2024,
Fredrikstad,Rugde,Felte småvilt,2023-2024,0.0
Fredrikstad,Enkeltbekkasin,Felte småvilt,2023-2024,
Fredrikstad,Stokkand,Felte småvilt,2023-2024,210.0
Fredrikstad,Krikkand,Felte småvilt,2023-2024,10.0
Fredrikstad,Brunnakke,Felte småvilt,2023-2024,10.0
Fredrikstad,Kvinand,Felte småvilt,2023-2024,70.0
Fredrikstad,Siland,Felte småvilt,2023-2024,60.0
Fredrikstad,Toppand,Felte småvilt,2023-2024,10.0
Fredrikstad,Ærfugl,Felte småvilt,2023-2024,160.0
Fredrikstad,Laksand,Felte småvilt,2023-2024,10.0
Fredrikstad,Svartand,Felte småvilt,2023-2024,170.0
Fredrikstad,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Fredrikstad,Mandarinand,Felte småvilt,2023-2024,0.0
Fredrikstad,Stivhaleand,Felte småvilt,2023-2024,0.0
Fredrikstad,Grågås,Felte småvilt,2023-2024,530.0
Fredrikstad,Kanadagås,Felte småvilt,2023-2024,40.0
Fredrikstad,Kortnebbgås,Felte småvilt,2023-2024,0.0
Fredrikstad,Stripegås,Felte småvilt,2023-2024,0.0
